Id,High School Type,State,unweighted GPA,weighted GPA,SAT Math,SAT Verbal,SAT Writing,SAT 1600,SAT 2400,ACT,Class Rank,Status,,
269,Public,,3.7,4.12,,,,0,0,34,14 of 360,Accepted,,
270,Public,IN,4,4.75,790,760,790,1550,2340,,2 of 189,Denied,,
271,Public,NJ,3.4,3.95,760,750,760,1510,2270,,DR,Denied,,
272,Public,WI,3.92,,780,740,690,1520,2210,33,DR,Accepted,,
273,Public,NY,3.78,4.1,770,570,680,1340,2020,29,DR,Accepted,,
274,Public,CA,3.6,4.2,540,570,620,1110,1730,,29 of 423,Will Attend,,
275,Public,VA,3.8,4.32,760,750,800,1510,2310,32,DR,Will Attend,,
276,Public,GA,3.55,3.96,790,690,770,1480,2250,,86 of 605,Denied,,
277,Public,CT,3.5,,760,600,720,1360,2080,30,39 of 390,Denied,,
278,Private,MA,3.64,4.2,800,640,620,1440,2060,34,DR,Denied,,
279,,NY,,,,,,0,0,,,Will Attend,,
280,Private,,3.7,3.9,800,680,740,1480,2220,33,Top 10%,Accepted,,
281,Public,NY,3.7,,720,750,750,1470,2220,,DR,Will Attend,,
282,Public,AZ,3.5,4.1,780,730,680,1510,2190,,80 of 459,Accepted,,
283,Public,VA,4,4.72,760,720,640,1480,2120,,3 of 428,Accepted,,
284,Public,NY,4,,570,590,630,1160,1790,28,3 of 90,Denied,,
285,Private,,3.4,3.8,670,600,670,1270,1940,,DR,Denied,,
286,Private,,3.8,4.3,790,650,740,1440,2180,34,Top 10%,Accepted,,
287,Public,MD,4,4.74,800,720,710,1520,2230,,4 of 317,Accepted,,
288,Private,,3.98,3.98,730,660,660,1390,2050,28,1 of 48,Accepted,,
289,Public,OK,4,4.5,,,,0,0,34,1 of 1145,Accepted,,
290,Public,AZ,3.98,4.74,790,800,720,1590,2310,36,18 of 595,Accepted,,
291,Public,OH,2.7,,740,680,580,1420,2000,,Bottom 50%,Denied,,
292,Public,NY,3.8,,690,720,770,1410,2180,,Top 10%,Accepted,,
293,Public,TX,3.99,4.95,760,710,690,1470,2160,33,3 of 611,Accepted,,
294,Public,OR,3.88,4.1,680,700,750,1380,2130,32,Top 10%,Will Attend,,
295,Public,CT,3.66,3.89,760,740,660,1500,2160,32,64 of 578,Denied,,
296,Public,CA,3.94,4.28,800,680,750,1480,2230,34,Top 25%,Accepted,,
297,Public,MD,3.5,3.71,720,500,560,1220,1780,26,DR,Denied,,
298,Public,PA,3.8,4.25,750,620,670,1370,2040,33,2 of 160,Will Attend,,
299,Public,NJ,3.8,,710,700,700,1410,2110,32,DR,Accepted,,
300,Private,DC,,3.63,730,800,680,1530,2210,,DR,Will Attend,,
301,Public,MD,3.54,4.15,770,660,670,1430,2100,,DR,Accepted,,
302,Public,PA,3.94,3.94,650,640,610,1290,1900,31,DR,Denied,,
303,Public,NY,4,,710,540,540,1250,1790,29,1 of 62,Accepted,,
304,Public,MD,3.91,4.6,800,740,800,1540,2340,,DR,Accepted,,
305,,NY,0,,740,800,780,1540,2320,,DR,Accepted,,
306,Public,OH,3.9,4.33,660,680,680,1340,2020,33,3 of 250,Accepted,,
307,Public,WA,3.93,,,,,0,0,34,Top 10%,Denied,,
308,Public,NY,4,4.4,680,680,710,1360,2070,30,DR,Accepted,,
309,Private,NJ,3.6,,640,630,660,1270,1930,,DR,Will Attend,,
310,Public,IA,4,,800,770,780,1570,2350,,2 of 239,Accepted,,
311,,NY,3.79,3.79,800,670,760,1470,2230,,Top 25%,Accepted,,
312,Public,CT,3.5,3.8,,,,0,0,34,DR,Denied,,
313,Public,NJ,3.7,5,690,690,750,1380,2130,,7 of 398,Accepted,,
314,Public,NJ,4,,710,620,770,1330,2100,,4 of 314,Denied,,
315,Public,NJ,4,4.8,760,700,680,1460,2140,,1 of 201,Accepted,,
316,Public,CA,4,4.71,800,800,,1600,1600,,1 of 454,Accepted,,
317,Public,OH,3.97,,,,,0,0,30,130 of 706,Denied,,
318,Public,PA,4,4.12,790,750,720,1540,2260,,1 of 339,Will Attend,,
319,Public,CT,3.8,4.1,800,510,560,1310,1870,28,41 of 282,Denied,,
320,Public,PA,3.96,4.35,800,670,730,1470,2200,,Top 10%,Accepted,,
321,Private,CA,3.7,4.1,760,560,700,1320,2020,29,DR,Denied,,
322,Public,LA,3.97,3.97,790,740,740,1530,2270,35,DR,Will Attend,,
323,Public,TX,3.84,,650,710,690,1360,2050,33,110 of 675,Denied,,
324,Private,FL,3.4,4.2,690,550,620,1240,1860,31,Top 25%,Accepted,,
325,Public,CA,3.7,4.1,730,730,750,1460,2210,34,DR,Accepted,,
326,Public,MT,3.78,,640,650,650,1290,1940,,13 of 142,Denied,,
327,Public,CA,3.71,4.03,790,800,770,1590,2360,,DR,Denied,,
328,Public,CO,3.6,3.82,,,,0,0,32,Top 25%,Denied,,
329,Parochial,FL,4,4.68,760,770,700,1530,2230,,1 of 75,Accepted,,
330,Private,MD,3.31,,700,580,620,1280,1900,,Top 25%,Will Attend,,
331,Public,NY,3.6,3.7,620,600,700,1220,1920,29,Top 25%,Denied,,
332,Public,MA,3.67,4.37,780,660,780,1440,2220,,9 of 201,Accepted,,
333,Public,MD,3.94,4.28,750,800,800,1550,2350,,59 of 620,Accepted,,
334,Public,NY,3.7,4,610,610,660,1220,1880,,6 of 315,Accepted,,
335,Public,CA,3.92,4.77,,,,0,0,34,DR,Denied,,
336,Public,VA,3.8,3.91,740,610,,1350,1350,,DR,Will Attend,,
337,Public,NC,3.8,5,720,670,710,1390,2100,30,12 of 456,Denied,,
338,Public,TX,3.84,4.79,780,740,680,1520,2200,35,8 of 576,Accepted,,
339,Private,,3.9,,780,680,780,1460,2240,,Top 10%,Accepted,,
340,Public,,3.8,4.3,680,730,750,1410,2160,33,Top 10%,Will Attend,,
341,Public,NY,3.75,3.9,760,730,760,1490,2250,,DR,Accepted,,
342,Public,TX,3.61,4.47,660,640,610,1300,1910,29,106 of 887,Denied,,
343,Public,WA,3.95,3.95,750,720,800,1470,2270,,4 of 400,Accepted,,
